precision|recall|f1|pr_auc|detectados|tasa_detectada|variante|modelo|feature_principal|transformacion|latencia_ms|registros_test|fold|subpartida|registros_train|outlier_rate_test
0.3333333333333333|0.08333333333333333|0.13333333333333333|0.13354700854700854|3|0.028846153846153848|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|17.28720000028261|104|3|1005904000-MAIZ MORADO|417|0.11538461538461539
0.631578947368421|1.0|0.7741935483870968|0.631578947368421|19|0.18269230769230768|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.946099999069702|104|4|1005904000-MAIZ MORADO|417|0.11538461538461539
0.631578947368421|1.0|0.7741935483870968|0.631578947368421|19|0.18269230769230768|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.712900000522495|104|4|1005904000-MAIZ MORADO|417|0.11538461538461539
0.0|0.0|0.0|0.11538461538461539|2|0.019230769230769232|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|16.54699999926379|104|4|1005904000-MAIZ MORADO|417|0.11538461538461539
0.8571428571428571|1.0|0.9230769230769231|0.8571428571428571|14|0.1346153846153846|A_BASELINE|IQR sobre VU original|VU|sin transformacion|9.001800000987714|104|5|1005904000-MAIZ MORADO|417|0.11538461538461539
0.75|1.0|0.8571428571428571|0.75|16|0.15384615384615385|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.533699998428347|104|5|1005904000-MAIZ MORADO|417|0.11538461538461539
0.0|0.0|0.0|0.11538461538461539|3|0.028846153846153848|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|18.232099999295315|104|5|1005904000-MAIZ MORADO|417|0.11538461538461539
0.8620689655172413|1.0|0.9259259259259259|0.8620689655172413|29|0.09731543624161074|A_BASELINE|IQR sobre VU original|VU|sin transformacion|10.42790000064997|298|1|1005909000-LOS DEMAS MAICES|1189|0.08389261744966443
0.625|1.0|0.7692307692307693|0.625|40|0.1342281879194631|B_LOG|IQR sobre log1p(VU)|LOG_VU|log1p|9.80139999956009|298|1|1005909000-LOS DEMAS MAICES|1189|0.08389261744966443
0.0|0.0|0.0|0.08389261744966443|5|0.016778523489932886|C_WINS|IQR sobre VU winsorizado|VU_WINS|winsor P5-P95 ajustado en train|19.01689999976952|298|1|1005909000-LOS DEMAS MAICES|1189|0.08389261744966443
0.8064516129032258|1.0|0.8928571428571429|0.8064516129032258|31|0.1040268456375839|A_BASELINE|IQR sobre VU original|VU|sin transformacion|10.035399998741923|298|2|1005909000-LOS DEMAS MAICES|1189|0.08389261744966443
