subpartida|variante|f1_promedio_subpartida|precision_promedio_subpartida|recall_promedio_subpartida|pr_auc_promedio_subpartida|folds|registros_test_total
1209991000-SEMILLAS DE ARBOLES FRUTALES O FORESTALES, PARA SIEMBRA|B_LOG|1.0|1.0|1.0|1.0|5|59
1209991000-SEMILLAS DE ARBOLES FRUTALES O FORESTALES, PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.203|5|59
1209999000-DEMAS SEMILLAS, FRUTOS Y ESPORAS PARA SIEMBRA|A_BASELINE|0.0|0.0|0.0|0.0232|5|174
1209999000-DEMAS SEMILLAS, FRUTOS Y ESPORAS PARA SIEMBRA|B_LOG|0.36|0.3333|0.4|0.3333|5|174
1209999000-DEMAS SEMILLAS, FRUTOS Y ESPORAS PARA SIEMBRA|C_WINS|0.0|0.0|0.0|0.0232|5|174
1211200090-RAICES DE GINSENG|A_BASELINE|0.0|0.0|0.0|0.0222|5|48
1211200090-RAICES DE GINSENG|B_LOG|0.2|0.2|0.2|0.2|5|48
1211200090-RAICES DE GINSENG|C_WINS|0.0|0.0|0.0|0.0222|5|48
1211903000-OREGANO (ORIGANUM VULGARE)|A_BASELINE|0.7684|0.6285|1.0|0.6285|5|859
1211903000-OREGANO (ORIGANUM VULGARE)|B_LOG|0.8311|0.717|1.0|0.717|5|859
1211903000-OREGANO (ORIGANUM VULGARE)|C_WINS|0.1207|0.2186|0.0889|0.072|5|859
1211905000-UÃ'A DE GATO (UNCARIA TOMENTOSA)|A_BASELINE|0.3133|0.2167|0.6|0.2167|5|107
1211905000-UÃ'A DE GATO (UNCARIA TOMENTOSA)|B_LOG|0.4333|0.3667|0.6|0.3667|5|107
1211905000-UÃ'A DE GATO (UNCARIA TOMENTOSA)|C_WINS|0.0|0.0|0.0|0.0277|5|107
1211906000-HIERBALUISA (CYMBOPOGON CITRATUS)|A_BASELINE|0.05|0.0286|0.2|0.0286|5|148
1211906000-HIERBALUISA (CYMBOPOGON CITRATUS)|B_LOG|0.2|0.2|0.2|0.2|5|148
1211906000-HIERBALUISA (CYMBOPOGON CITRATUS)|C_WINS|0.0|0.0|0.0|0.0069|5|148
1211909091-DEMAS FRUTAS/FRUTOS Y DEMAS PART. COMESTIB. DE PLANTAS, PREP. O CONSERV. DE OTRO MOD|A_BASELINE|0.76|0.6333|1.0|0.6333|5|100
1211909091-DEMAS FRUTAS/FRUTOS Y DEMAS PART. COMESTIB. DE PLANTAS, PREP. O CONSERV. DE OTRO MOD|B_LOG|0.7533|0.6333|1.0|0.6333|5|100
